ResourceName,ParentAgencyName
La Esperanza Home for Boys,
La Esperanza Home for Boys,Southwest Key Programs - Tip of Texas
La Familia Del Paso Center,
La Familia Primary Care Services,City of Laredo - Health Department
La Fe,Centro De Salud Familiar La Fe Inc.
La Feria Independent School District,
La Fuente Learning Center,
La Fuente Learning Center - Delta Program,La Fuente Learning Center
La Fuente Learning Center - ESL Program,La Fuente Learning Center
La Fuente Learning Center - GED Instruction in English,La Fuente Learning Center
La Fuente Learning Center - GED Instruction in Spanish,La Fuente Learning Center
La Fuente Learning Center - Survival for Women,La Fuente Learning Center
La Fuente Learning Center - Survival Skills for Youth,La Fuente Learning Center
La Grange Building Department,City of La Grange
La Grange City Hall,
La Grange City Hall,City of La Grange
La Grange HA,
La Grange HA,La Grange Housing Authority
La Grange Housing Authority,
La Grange Housing Authority - Housing Services,La Grange Housing Authority
La Grange Independent School District (LGISD),
La Grange ISD,
La Grange ISD,La Grange Independent School District (LGISD)
La Grange ISD -  Administration and Transportation,La Grange Independent School District (LGISD)
La Grange ISD - Guidance and Counseling Services,La Grange Independent School District (LGISD)
La Grange ISD - Homeless Liaison Services,La Grange Independent School District (LGISD)
La Grange ISD - Special Education Services,La Grange Independent School District (LGISD)
La Grange Mayor,
La Grange Mayor,City of La Grange
La Grange PD,
La Grange PD,La Grange Police Department
La Grange PD - Law Enforcement Services,La Grange Police Department
La Grange Police Department,
La Grange Public Library,
La Grange Public Library,"Fayette Public Library, Heritage Museum and Archives"
La Grange Utility Department,City of La Grange
"La Guadalupana Adult Daycare, Inc.",
La Joya Housing Authority,
La Joya Independent School District,
La Joya Municipal Library,
La Leche League,
La Leche League,La Leche League of Corpus Christi
La Leche League International,
La Leche League of Belton/Temple,La Leche League of Central Texas
La Leche League of Central Texas,
La Leche League of Central Texas,La Leche League of Texas (Austin)
La Leche League of Corpus Christi,
La Leche League of Killeen,La Leche League of Central Texas
La Leche League of Texas (Austin),
La Leche League of Texas (Austin) - Breastfeeding Support Group Services,La Leche League of Texas (Austin)
La Marque Aid & Guidance,
La Marque Independent School District,
La Mision Dental Clinic,"Daughters of Charity Services, San Antonio"
La Mision Family Health Care; DePaul Counseling Services,"Daughters of Charity Services, San Antonio"
La Mision Family Health Center,
La Mision Medical Care,"Daughters of Charity Services, San Antonio"
La Mision Wellness Program,"Daughters of Charity Services, San Antonio"
La Montana Vista After School Prevention Project For Area Youth,Centro De Salud Familiar La Fe Inc.
La Paloma,StarCare Specialty Health System
La Paloma Adult Day Care,
La Plaza Comunitaria - Adult Education,Society of St. Vincent De Paul - Diocesan Council of El Paso
La Porte City Hall,
La Porte Independent School District,
La Porte Parks and Recreation Center,
La Posada Home,
La Posada Providencia,
La Promesa Apartments,
La Pryor Independent School District,
La Pryor Independent School District,La Pryor Independent School District
La Rosita Public Library,
La Salle County,
La Salle County,La Salle County
La Salle County - Emergency Management Coordinator,La Salle County
"La Salle County - Women, Infants, and Children Supplemental Nutrition Program",
"La Salle County - Women, Infants, and Children Supplemental Nutrition Program","La Salle County - Women, Infants, and Children Supplemental Nutrition Program"
La Salle County Appraisal District,La Salle County
La Salle County Chamber of Commerce,
La Salle County Chamber of Commerce,La Salle County Chamber of Commerce
La Salle County Nutrition Center,La Salle County
La Salle County Sheriff Department,La Salle County
La Salle County Sheriff Department - Victim Services,La Salle County
La Salle County Tax Office,La Salle County
La Salle County Veteran Service Officer,La Salle County
La Tuna,Federal Bureau of Prisons
La Union De Pueblo Entero,
La Vernia Independent School District,
La Vernia Independent School District Main Office,La Vernia Independent School District
La Vernia ISD,La Vernia Independent School District
La Villa Independent School District,
LAASG,
Labelle-Fannett Volunteer Fire and EMS Department,
"Labelle-Fannett Volunteer Fire and EMS Department, Fire and Emergency Medical Response",Labelle-Fannett Volunteer Fire and EMS Department
Labor Finders,
Labor Finders - Temple,Labor Finders
Labor Finders - Temporary Employment Placement,Labor Finders
Labor Finders International,
Labor of Love,
Labor of Love,"Athens Samaritans, dba Labor Of Love"
Labor Ready (Austin),
Labor Ready - Abilene Office,
Labor Ready South Austin - Temporary Employment Services,Labor Ready (Austin)
Laboratory,Corpus Christi-Nueces County Public Health District
Laboratory Services,Angel Mobile Health Service
Laboratory Services,Brazos County Health Department
LAC,City of Lakeway
LaCare,
LaCare,Lakes Area Care (LaCare)
Lackland AFB Airman and Family Readiness Center,
Lackland Air Force Base Airman and Family Readiness Center,
Lackland Air Force Base Youth Programs,
Lackland Independent School District,
Lackland Independent School District,Lackland Independent School District
Lackland ISD,Lackland Independent School District
Lackland Youth Programs,Lackland Air Force Base Youth Programs
Lactation Assistance,Medical Center Health System
Lactation Center,Methodist Healthcare System
Lacy Lakeview Fire Department,"Lacy Lakeview, City of"
Lacy Lakeview Police Department,"Lacy Lakeview, City of"
Lacy Lakeview Water Department,"Lacy Lakeview, City of"
"Lacy Lakeview, City of",
Ladder Alliance,
Ladies of Charity,
Ladies of Charity,"Ladies of Charity of Bastrop, Texas"
"Ladies of Charity of Bastrop, Texas",
"Ladies of Charity of Bastrop, Texas - Basic Needs Assistance","Ladies of Charity of Bastrop, Texas"
"Ladies of Charity of Bastrop, Texas - Thrift Stores","Ladies of Charity of Bastrop, Texas"
Ladies of Charity Thrift Shop,
Ladies of Charity Thrift Shop,Ladies of Charity Thrift Shop
Ladonia Area Chamber of Commerce,
Ladonia Area Chamber of Commerce,Ladonia Area Chamber of Commerce
"Ladonia, City of",
"Ladonia, City of","Ladonia, City of"
Ladrillera Senior Center,City of Laredo - Parks and Leisure Services Department
LAF,
LaGange City Council,
LaGange City Council,City of La Grange
"Lago Vista Area Volunteers, Inc.",
"Lago Vista Area Volunteers, Inc. - Medical Equipment Loan","Lago Vista Area Volunteers, Inc."
"Lago Vista Area Volunteers, Inc. - Medical Transportation Services","Lago Vista Area Volunteers, Inc."
Lago Vista City Council,
Lago Vista City Council,City of Lago Vista
Lago Vista City Hall,
Lago Vista City Hall,City of Lago Vista
Lago Vista City Manager,
Lago Vista City Manager,City of Lago Vista
Lago Vista Community Library,
Lago Vista Community Library - Library Services,Lago Vista Community Library
Lago Vista Independent School District (LVISD),
Lago Vista ISD,
Lago Vista ISD,Lago Vista Independent School District (LVISD)
Lago Vista Mayor,
Lago Vista Mayor,City of Lago Vista
Lago Vista PD,
Lago Vista PD,Lago Vista Police Department
Lago Vista PD - Law Enforcement Services,Lago Vista Police Department
Lago Vista Police Department,
Lago Vista Public Library,
Lago Vista Utility Administrator,
Lago Vista Utility Administrator,City of Lago Vista
Lago Vista Volunteers,
Lago Vista Volunteers,"Lago Vista Area Volunteers, Inc."
Lagovista Volunteers,
Lagovista Volunteers,"Lago Vista Area Volunteers, Inc."
LaGrange City Manager,
LaGrange City Manager,City of La Grange
LaGrange ISD,
LaGrange ISD,La Grange Independent School District (LGISD)
LaGrange Utilities,City of La Grange
Laguna Vista Public Library,
"Laguna Vista, City of",
Lake Air PDS Montessori,Waco Independent School District
Lake Area Shared Ministries,
Lake Cities Community Food Center,
Lake Country CASA,
Lake Jackson Emergency Medical Services,
Lake Jackson Police Department,
Lake Jackson Volunteer Fire Department,
Lake Pointe Church ,
Lake Pointe Medical Center,
Lake Shore Baptist Church,
Lake Shore Center for Behavioral Health,
Lake Shore Library,Llano County Public Library System
Lake Shores Church of Marble Falls Food Pantry,
Lake Shores Church of Marble Falls Food Pantry,Joseph's Food Pantry
Lake Tawakoni Area Chamber Of Commerce Convention And Visitors Bureau,
Lake Texoma Dental Care,
Lake Texoma Dental Care,Lake Texoma Dental Care
Lake Travis Community Library,
Lake Travis Community Library,Lake Travis Community Library
Lake Travis Crisis Ministries,
Lake Travis Crisis Ministries - Basic Needs Assistance,Lake Travis Crisis Ministries
Lake Travis Crisis Ministries - Food Pantry,Lake Travis Crisis Ministries
Lake Travis Fire and Rescue,
Lake Travis Independent School District (LTISD),
Lake Travis ISD,
Lake Travis ISD,Lake Travis Independent School District (LTISD)
Lake Travis ISD - Administration and Transportation,Lake Travis Independent School District (LTISD)
Lake Travis ISD - Guidance and Counseling Services,Lake Travis Independent School District (LTISD)
Lake Travis ISD - Homeless Liaison,Lake Travis Independent School District (LTISD)
Lake Travis ISD - Special Education Services,Lake Travis Independent School District (LTISD)
Lake Travis Library,
Lake Travis Library,Lake Travis Community Library
Lake Travis Public Library,
Lake Travis Public Library,Lake Travis Community Library
Lake Whitney Ministerial Alliance,
Lake Whitney Ministerial Alliance Benevolence Services,Lake Whitney Ministerial Alliance
Lake Whitney Ministerial Alliance Food Bank,Lake Whitney Ministerial Alliance
Lake Worth City Hall,
Lake Worth Fire Department,
Lake Worth Independent School District,
Lake Worth Police Department,
Lake Worth Senior Center,
Lakehills Area Library,
Lakehills Area Library,Lakehills Area Library
Lakeridge Baptist Church,
"Lakeridge Baptist, Food Voucher Program",Lakeridge Baptist Church
LakeRidge UMC,
LakeRidge United Methodist Church,
Lakes Area Care (LaCare),
Lakes Area Care (LaCare) - Food and Prescription Assistance,Lakes Area Care (LaCare)
Lakes Behavioral Health,
Lakes Behavioral Health - Fannin County,Lakes Behavioral Health
Lakes Regional Community Center,
Lakes Regional Community Center-HCS Services,Lakes Regional Community Center
Lakes Regional Community Center-IDD Services,Lakes Regional Community Center
Lakes Regional MHMR - Early Childhood Intervention,
Lakes Regional MHMR Center,
Lakes Regional MHMR Center - Hunt,
Lakes Regional MHMR Center/Ennis Work Center formally-Ennis Association For Retarded Citizens,
Lakeshore Branch,Llano County Public Library System
Lakeside Christian Fellowship,
Lakeside City Hall,
Lakeview Health & Dental Centers,La Esperanza Health & Dental Centers
Lakeview Health and Dental Centers,La Esperanza Health & Dental Centers
Lakeview Palms,Port Arthur Housing Authority
Lakeway BDS,City of Lakeway
Lakeway Center,City of Lakeway
Lakeway Christian Resale Barn,
Lakeway Christian Resale Barn - Hope Through Grace Program,Lakeway Christian Resale Barn
Lakeway Christian Resale Barn - Samaritan Program,Lakeway Christian Resale Barn
Lakeway Citizens Police Academy,Lakeway Police Department
Lakeway City Council,
Lakeway City Council,City of Lakeway
Lakeway City Hall,
Lakeway City Hall,City of Lakeway
Lakeway Crisis Ministries,
Lakeway Crisis Ministries,Lake Travis Crisis Ministries
Lakeway EM,City of Lakeway
Lakeway EMC,City of Lakeway
Lakeway Mayor,
Lakeway Mayor,City of Lakeway
Lakeway OEM,City of Lakeway
Lakeway Parks and Rec,City of Lakeway
Lakeway Police Department,
Lakeway Police Department - Law Enforcement Services,Lakeway Police Department
